model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Sonnet 4.5,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Claude Sonnet 4.5,2,6.285163758528651,0.026268352774626,6.22881869049588,6.321928094887363
Claude Sonnet 4.5,3,5.405494836079265,0.037888461690009,5.357552004618084,5.459431618637297
Claude Sonnet 4.5,4,4.46377763724934,0.079596278636901,4.321928094887363,4.584962500721156
Claude Sonnet 4.5,5,2.995455984699983,0.114789713646622,2.807354922057604,3.169925001442312
Claude Sonnet 4.5,6,1.584962500721156,0,1.584962500721156,1.584962500721156
Claude Sonnet 4.5,7,1,0,1,1
Claude Sonnet 4.5,8,0,0,0,0
GPT 5,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
GPT 5,2,6.198485408192785,0.058926256401318,6.066089190457772,6.266786540694901
GPT 5,3,5.310509976312801,0.040154583626927,5.247927513443585,5.357552004618084
GPT 5,4,4.161232820604044,0.043507318382441,4.087462841250339,4.247927513443585
GPT 5,5,2.576834103821687,0.153827912642309,2.321928094887362,2.807354922057604
GPT 5,6,0,0,0,0
GPT 5,7,0,0,0,0
GPT 5,8,0,0,0,0
Gemini 2.5 Pro,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Gemini 2.5 Pro,2,6.195145467292969,0.04153236623602,6.108524456778169,6.266786540694901
Gemini 2.5 Pro,3,5.172992365311494,0.051918205161268,5.087462841250339,5.247927513443585
Gemini 2.5 Pro,4,4.333280533590949,0.09226790127976,4.247927513443585,4.523561956057013
Gemini 2.5 Pro,5,2.801405453378794,0.131448495035523,2.584962500721156,3
Gemini 2.5 Pro,6,1,0,1,1
Gemini 2.5 Pro,7,0,0,0,0
Gemini 2.5 Pro,8,0,0,0,0
Grok 4,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Grok 4,2,6.349099859555483,0.063580049605125,6.22881869049588,6.459431618637297
Grok 4,3,5.577936377177406,0.053846668681343,5.491853096329675,5.672425341971495
Grok 4,4,4.715355086123718,0.068260589650675,4.643856189774724,4.857980995127572
Grok 4,5,3.347978842667838,0.085463549510064,3.169925001442312,3.459431618637297
Grok 4,6,1,0,1,1
Grok 4,7,0,0,0,0
Grok 4,8,0,0,0,0
Oracle,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Oracle,2,6.173571487399933,0.032053541276562,6.108524456778169,6.22881869049588
Oracle,3,5.140800466324301,0.047618419908399,5.087462841250339,5.247927513443585
Oracle,4,4.069470204894435,0.051489711624668,4,4.169925001442312
Oracle,5,2.348231535470742,0.078910321750138,2.321928094887362,2.584962500721156
Oracle,6,0,0,0,0
Oracle,7,0,0,0,0
Oracle,8,0,0,0,0
